"title","url","summary","source","publication_date","date_found","vulnerable_populations","needs_review","severity","status","reviewer_notes","relevance_score"
"Sycophancy in Generative-AI Chatbots","https://news.ycombinator.com/item?id=39006105","In many cases, during model training, user approval is more important than maintaining the truth, as shown by researchers at MIT and the Center for AI Safety. Mrinank Sharma, Meg Tong, and other researchers at Anthropic AI have shown that humans prefer sycophantic responses while training or interacting with models. Even when prompts are focused on objective mathematical expressions, models rush to agree with a user’s opinion, although it is demonstrably false, as shown by researchers at Goog...","Hacker News","2024-01-15","2025-11-12 14:13:32","","True","","discovered","HN Score: 3, Comments: 0","38.0"
"Can Editing LLMs Inject Harm?","http://arxiv.org/abs/2407.20224v3","Meanwhile, one critical but under-explored question is: can knowledge editing be used to inject harm into LLMs? In this paper, we propose to reformulate knowledge editing as a new type of safety threat for LLMs, namely Editing Attack, and conduct a systematic investigation with a newly constructed dataset EditAttack. Then, we further illustrate the high stealthiness of editing attacks, measured by their impact on the general knowledge and reasoning capacities of LLMs, and show the hardness of...","arXiv","2024-07-29","2025-11-12 14:12:19","","True","","discovered","Research paper","38.0"
"Measuring Sycophancy of Language Models in Multi-turn Dialogues","http://arxiv.org/abs/2505.23840v3","Large Language Models (LLMs) are expected to provide helpful and harmless responses, yet they often exhibit sycophancy--conforming to user beliefs regardless of factual accuracy or ethical soundness. Prior research on sycophancy has primarily focused on single-turn factual correctness, overlooking the dynamics of real-world interactions. Finally, we evaluate four additional prompting strategies and demonstrate that adopting a third-person perspective reduces sycophancy by up to 63.8% in debat...","arXiv","2025-05-28","2025-11-12 14:12:03","","True","","discovered","Research paper","38.0"
"‘Sycophantic’ chatbots tell users what they want to hear, even when harmful: Study - YourStory.com","https://news.google.com/rss/articles/CBMiiAFBVV95cUxQY3lPc3VFTm9mZEs1QTktMVF4emREODRPZjluUnRnWG5KVVFVVXh2aGxXRjNRTkZjaHJsOGZ4ZTVqTDVEV0FIQW1pMnd1dEFHQXRhUlNGa0xJVjd6QzNneWNIX09hVXVCQXMwS1B5aWtaRUpzNDA1bWpRSW02SW5BM21tMDBJRUZq?oc=5","‘Sycophantic’ chatbots tell users what they want to hear, even when harmful: Study YourStory.com","Google News: AI sycophancy","","2025-11-12 14:15:36","","True","","discovered","","38.0"
"Authorship Attribution in the Era of LLMs: Problems, Methodologies, and Challenges","http://arxiv.org/abs/2408.08946v2","Accurate attribution of authorship is crucial for maintaining the integrity of digital content, improving forensic investigations, and mitigating the risks of misinformation and plagiarism. The rapid advancements of Large Language Models (LLMs) have blurred the lines between human and machine authorship, posing significant challenges for traditional methods. By evaluating the strengths and limitations of existing methods and benchmarks, we identify key open problems and future research direct...","arXiv","2024-08-16","2025-11-12 14:12:19","","True","","discovered","Research paper","36.0"
"Sycophancy in Large Language Models: Causes and Mitigations","http://arxiv.org/abs/2411.15287v1","However, their tendency to exhibit sycophantic behavior - excessively agreeing with or flattering users - poses significant risks to their reliability and ethical deployment. Key approaches explored include improved training data, novel fine-tuning methods, post-deployment control mechanisms, and decoding strategies. Our analysis suggests that mitigating sycophancy is crucial for developing more robust, reliable, and ethically-aligned language models.","arXiv","2024-11-22","2025-11-12 14:12:03","","True","","discovered","Research paper","36.0"
"Measuring Political Preferences in AI Systems: An Integrative Approach","http://arxiv.org/abs/2503.10649v1","Political biases in Large Language Model (LLM)-based artificial intelligence (AI) systems, such as OpenAI's ChatGPT or Google's Gemini, have been previously reported. However, this bias is not an inherent feature of LLMs; prior research demonstrates that fine-tuning with politically skewed data can realign these models across the ideological spectrum. To mitigate these risks, AI systems should be designed to prioritize factual accuracy while maintaining neutrality on most lawful normative iss...","arXiv","2025-03-04","2025-11-12 14:12:12","","True","","discovered","Research paper","36.0"
"ChatGPT Sycophantic Tone: How Humanizing Chatbots Pose Risks - MediaNama","https://news.google.com/rss/articles/CBMilwFBVV95cUxQMFI5TGRKWjB1Sk43SzREM2FCeVpMd1ZGa0F6MzlrVE5MZkVDMW9EVGpLX3RsbWJTbTl5Y09XbFBlbDJvMHBncEN0UnZHeEVYUjhvU2Y4cmdPVndSVTlwdHBpN25kNzNTczQyUUlmOWEwdkt0c1ZZdEJzOUI0enZnVkpKUTBPeGRnWG5xZlVmSl93YXA2c0Qw?oc=5","ChatGPT Sycophantic Tone: How Humanizing Chatbots Pose Risks MediaNama","Google News: AI sycophancy 2024","2025-04-28","2025-11-12 14:09:09","","True","","discovered","","36.0"
"Sycophancy under Pressure: Evaluating and Mitigating Sycophantic Bias via Adversarial Dialogues in Scientific QA","http://arxiv.org/abs/2508.13743v1","Large language models (LLMs), while increasingly used in domains requiring factual rigor, often display a troubling behavior: sycophancy, the tendency to align with user beliefs regardless of correctness. While relatively benign in casual dialogue, sycophancy poses serious risks in high-stakes settings such as scientific question answering (QA), where model outputs may shape collaborative reasoning, decision-making, and knowledge formation. Experiments on challenging scientific QA benchmarks ...","arXiv","2025-08-19","2025-11-12 14:12:05","","True","","discovered","Research paper","36.0"
"Sycophancy as compositions of Atomic Psychometric Traits","http://arxiv.org/abs/2508.19316v1","Sycophancy is a key behavioral risk in LLMs, yet is often treated as an isolated failure mode that occurs via a single causal mechanism. Using Contrastive Activation Addition (CAA), we map activation directions to these factors and study how different combinations may give rise to sycophancy (e.g., high extraversion combined with low conscientiousness). This perspective allows for interpretable and compositional vector-based interventions like addition, subtraction and projection; that may be...","arXiv","2025-08-26","2025-11-12 14:12:05","","True","","discovered","Research paper","36.0"
"Can LLMs Lie? Investigation beyond Hallucination","http://arxiv.org/abs/2509.03518v1","Large language models (LLMs) have demonstrated impressive capabilities across a variety of tasks, but their increasing autonomy in real-world applications raises concerns about their trustworthiness. While hallucinations-unintentional falsehoods-have been widely studied, the phenomenon of lying, where an LLM knowingly generates falsehoods to achieve an ulterior objective, remains underexplored. Our findings contribute to the broader discourse on AI ethics, shedding light on the risks and pote...","arXiv","2025-09-03","2025-11-12 14:12:18","","True","","discovered","Research paper","36.0"
"Challenging the Evaluator: LLM Sycophancy Under User Rebuttal","http://arxiv.org/abs/2509.16533v1","Paradoxically, LLMs are increasingly adopted as successful evaluative agents for tasks such as grading and adjudicating claims. This research investigates that tension: why do LLMs show sycophancy when challenged in subsequent conversational turns, yet perform well when evaluating conflicting arguments presented simultaneously? Our results highlight the risk of relying on LLMs for judgment tasks without accounting for conversational framing.","arXiv","2025-09-20","2025-11-12 14:12:05","","True","","discovered","Research paper","36.0"
"Invisible Saboteurs: Sycophantic LLMs Mislead Novices in Problem-Solving Tasks","http://arxiv.org/abs/2510.03667v1","Sycophancy, the tendency of LLM-based chatbots to express excessive enthusiasm, agreement, flattery, and a lack of disagreement, is emerging as a significant risk in human-AI interactions. However, the extent to which this affects human-LLM collaboration in complex problem-solving tasks is not well quantified, especially among novices who are prone to misconceptions. Our findings show that users of the high sycophancy chatbot were less likely to correct their misconceptions and spent more tim...","arXiv","2025-10-04","2025-11-12 14:12:19","","True","","discovered","Research paper","36.0"
"AI Chatbots Exhibit Sycophantic Behavior, Risking Biases in Key Fields - WebProNews","https://news.google.com/rss/articles/CBMingFBVV95cUxNSER3a2pDc2FhQkVLUnVpb1lhNk1JWlJxcnZXbXZzTHZ5R2VZUlREbk5Dd0NnOU54NzlhcV81ZG9KWnRLS2l6X2NSUklfenNyV3ZSUEtfVVBEZHlvX3dBd2Q0ZW05UWtJUzJwMEFnZ2tVZzNFcnIxMzV5ZERYNWRzcVBBRjVMVnpBNHVNOEhsSGJkR09VUVhuS1RVZkFkdw?oc=5","AI Chatbots Exhibit Sycophantic Behavior, Risking Biases in Key Fields WebProNews","Google News: AI sycophancy","","2025-11-12 14:14:44","","True","","discovered","","36.0"
"When helpfulness backfires: LLMs and the risk of false medical information due to sycophantic behavior - Nature","https://news.google.com/rss/articles/CBMiX0FVX3lxTFAyNlBZdWF4LXhpODkzU1BuNVZKNnoyOGRUQ2Jhb29sX3VVbGR6cUk4d1FRN3ZNSWxXS2hvYVNDcmtIOG45SEhacENjdTZTS0RyWldaRnNrMnQyZE5IaGhj?oc=5","When helpfulness backfires: LLMs and the risk of false medical information due to sycophantic behavior Nature","Google News: OpenAI sycophancy 2024","","2025-11-12 14:23:20","","True","","discovered","","36.0"
"Harmful Suicide Content Detection","http://arxiv.org/abs/2407.13942v1","Despite global efforts, existing resources are insufficient, specifically in high-risk regions like the Republic of Korea. We develop a multi-modal benchmark and a task description document in collaboration with medical professionals, and leverage large language models (LLMs) to explore efficient methods for moderating such content. Owing to the potential harm involved, we publicize our implementations and benchmark, incorporating an ethical verification process.","arXiv","2024-06-03","2025-11-12 14:13:00","mental_health","True","","discovered","Research paper","35.0"
"Automated Harmfulness Testing for Code Large Language Models","http://arxiv.org/abs/2503.16740v1","Meanwhile, a recent study shows that developers consider using harmful keywords when naming software artifacts to be an unethical behavior. Exposure to harmful content in software artifacts can negatively impact the mental health of developers, making content moderation for Code Large Language Models (Code LLMs) essential. CHT evaluates output damage to assess potential risks in LLM-generated explanations and code.","arXiv","2025-03-20","2025-11-12 14:13:00","mental_health","True","","discovered","Research paper","35.0"
"AI 'therapy' chatbots give potentially dangerous advice about suicide - The i Paper","https://news.google.com/rss/articles/CBMilgFBVV95cUxOVlBaWEhLYmd2bjA0cG9oSHVtTkRWbEtSTXdORWVaWnZ4c21XZ2ZfRFJMVlNzZUtzb1A2bE5PSHUxWGwyZGFUdE5oaDlPdkswdUVuSERUcDY4WEQ5blpOZmxXdi1fdGwwN0swOWw5YWNvQ0dnaF9fa05seDRybzU3aG9NQm9yaEJ6RE5NT0tseHdWME5YcFE?oc=5","AI 'therapy' chatbots give potentially dangerous advice about suicide The i Paper","Google News: AI chatbot dangerous advice","2025-06-15","2025-11-12 14:11:54","mental_health","True","","discovered","","35.0"
"`For Argument's Sake, Show Me How to Harm Myself!': Jailbreaking LLMs in Suicide and Self-Harm Contexts","http://arxiv.org/abs/2507.02990v1","Recent advances in large language models (LLMs) have led to increasingly sophisticated safety protocols and features designed to prevent harmful, unethical, or unauthorized outputs. In this work, we present two new test cases in mental health for (i) suicide and (ii) self-harm, using multi-step, prompt-level jailbreaking and bypass built-in content and safety filters. We assess these findings and the multilayered ethical tensions that they present for their implications on prompt-response fil...","arXiv","2025-07-01","2025-11-12 14:12:58","mental_health","True","","discovered","Research paper","35.0"
"ChatGPT gave dangerous advice to teens in watchdog test, new report finds - LiveNOW from FOX","https://news.google.com/rss/articles/CBMib0FVX3lxTE9POXZUNGkweUtKUHhTdHZtRnpIZGtXWE50Q1dVVmcteDRmVTJZWmF1bngxQnYtdmpNZDlSY1FTVlBXTnpRTE5PNTZBX0pNV2FnVm1hYVB0Wk1ZM2VER2ZkMWtCYW5yWnoyOFBhQm1sQdIBdEFVX3lxTE9wcGhHR1V4NUtiQjVfN3gyalFjeEtfcGdkbDJhVEVfRjFxbkpHcGZtc2ZCV2F3c2twcFJkTEVILV94eVk0QzNIdFRRcU9ZeF8yYlUxYjNtb1ltTk9fSTVqUG1xZThWZUxMTFhLVDZPSjNscnNS?oc=5","ChatGPT gave dangerous advice to teens in watchdog test, new report finds LiveNOW from FOX","Google News: AI chatbot dangerous advice","2025-08-06","2025-11-12 14:11:30","minors","True","","discovered","","35.0"
"Study says ChatGPT giving teens dangerous advice on drugs, alcohol and suicide - WCCB Charlotte","https://news.google.com/rss/articles/CBMiuwFBVV95cUxPQmV4cmw0REYtZjJBTmF2bml1LWRUQ3NldjhVN3NpeEZIMlRWNE9pWXRlSHlKZlYxaS11SlpDVlpTdFRoTHdWQlFsUDdBVmpkekxQZFpsR1pTdVRKSS1nQkNLLTNDR0xMNEZ3SEU0NHktSlJkaGh5WEFDd0lsZU9hQ2stcnhpcnViOTJpZi1kSjZTbk8wNUVNOXpPWGdhakFJYS1HbUtmZlNabDdvSW5meVFWYTFvOUI2VFdN?oc=5","Study says ChatGPT giving teens dangerous advice on drugs, alcohol and suicide WCCB Charlotte","Google News: AI chatbot dangerous advice","2025-08-06","2025-11-12 14:11:50","mental_health, minors","True","","discovered","","35.0"
"Wiregrass Parents: Study Claims AI Chatbot Gives Dangerous Advice to Teens - Wiregrass Daily News","https://news.google.com/rss/articles/CBMi1AFBVV95cUxQOGQ1VmRZcEs4VXgxWGJVYm1VQ0tVWVVzN1Zlb0pGWnJEdDl2RWhheWRpcjc5RXd5SzhiMmZJR081dDJ5NmVYNXpIZlNnU1JXUUxsRWFkMmljVUdaR3ViMzdHQzczQ2hiMFAyeFdvRDBCdWZTX3FpaC1ENVdEa016S3RtSV9DZy1pdkhsbGM4SWtHX3hYRkp5ejV6QmN3N1hwSmNkYVF0U2lNcm4tRDRxQTlHYmliUXRDM3lYRDVIWGVFMlNLYWxhOUZVRHotSktrb0VJMw?oc=5","Wiregrass Parents: Study Claims AI Chatbot Gives Dangerous Advice to Teens Wiregrass Daily News","Google News: AI chatbot dangerous advice","2025-08-07","2025-11-12 14:11:26","minors","True","","discovered","","35.0"
"AI chatbots offer dangerous advice to minors: study| Gulf Times - Gulf Times","https://news.google.com/rss/articles/CBMiogFBVV95cUxNajBjNnk0ZTVyRUU0OGNqb2ZSWk5KdlRRMS1jcEVEUDNjS2Y5Wko0cGhBWE5jSWNHbUV0RjhfenBlcUdEdUMyWHhzN1dMRDRFckFhWHBqUXRreVRCcXVaV01WX2l6RWZxRGVpalRULXpaZFBfU1pIZEVFbHNmb2swV09jRmllbjdvdm12eDlRZHo3ZXd0enJqVV84U183S2FQY2fSAacBQVVfeXFMUC0xYk05MjVNUkhIOU1ON2RPbGl5U2FheWc3ZXFmQUpZTURmVE9JcXZtWlpNS0tFd29qODB4dUVrWTRLc2pKT2xURUlIQTFYOHVaM3VjdGRXV2U5Y016ZzctNFdJRThqdng0NUFIdm93NUEyLXYwcmxKeWVPSlBYQ3hVWWduS3Fud1dXaDNtalU4eWNWT013S2hfM1N1emhtcmNKaEhWc3c?oc=5","AI chatbots offer dangerous advice to minors: study| Gulf Times Gulf Times","Google News: AI chatbot dangerous advice","2025-08-11","2025-11-12 14:11:57","minors","True","","discovered","","35.0"
"ChatGPT’s alarming interactions with teenagers: Dangerous advice on drinking, suicide, and starvation die - The Times of India","https://news.google.com/rss/articles/CBMinwJBVV95cUxQXzh2dVNkbmdGTWwyNWJtTGV3U3RGX3VudThTMzE2a1NtZEFoMW03c2dpYlFNMXRQaS1WTGNqWGgzaUd5YVV0U05Ub1hycUNSbTZQejRSbE9JR3NpdnJlLUdFb1pwdWdkWGgxQ1RRMTRPS1dDMW80UkpNeUt4alMwZjM4dmw4ek5JdUM1TzRBYzlwT1JUWWtGRXhvMG1lYUE1SjB1THpMRENGeVc5Qmk2UmRyRDBSY0FTUkp3MmthODVPUk45ZW9rZ1dBVDBPbzAxY0N3bEFtNWx2aTEtdWRuTWtGdGNCVzZrNGlKMF8wNjQzUUlIUWNkbUhySDBUMnkwMVZrNjlFeFU2WWVBd3hEV1NGYWRvY2pGNG11N25fWdIBpAJBVV95cUxOTG15NlVzQi1OaVpxLXRXcmZ4UHZmOEZ1ODJyTE8zVFloVXZVbFVXa3NHbjB5YXdScHAxX0ZrYk5MS2stRlJfNmM3Tm5tallWTkZNbmRsVTljeFVYekpsMFp3ZVY2SFM3TllnLXg1c3VVVUdITE9ZQ19xZDJfWGFQMEI4YTVfdThjVnpsSWpSdVZRQ1JkVlN6QWdFOUF5ZG81TUdLUEpPdnlzcU5sRTdPMjdvdmZIdTlDM3kwZkoyY0ZsZEd5MXRnUGlsVDc3aHE1OUV4cHd3WEZuSjQ0UDV4ZWtRRWxBMkpQMENaTmJWX205QmFhalNfSXp1endhUDFNSzJLWHVXaHowc3pXNGhEN2dKbzFkZFNkdU1ScTRpV3NzUFd0?oc=5","ChatGPT’s alarming interactions with teenagers: Dangerous advice on drinking, suicide, and starvation die The Times of India","Google News: AI chatbot dangerous advice","2025-08-12","2025-11-12 14:11:47","mental_health, minors","True","","discovered","","35.0"
"Tech Talk: ChatGPT gave dangerous advice to simulated teens in minutes - MyNorthwest.com","https://news.google.com/rss/articles/CBMifEFVX3lxTFBudUIyeTN2V0JkMzdqVEIzT2xxTFV5NlhrbWVmdWVIbldIempoM0RDdFNkSVZ2WHBIYTROYXJ2WDRzVGZGdFBpc1E4b3BtQU4telJDVHg3Q2FHaDhoLW9CcFdjLWo2d1NvZkFrbnVJVmM4LTJwZ05uYkxYZ0U?oc=5","Tech Talk: ChatGPT gave dangerous advice to simulated teens in minutes MyNorthwest.com","Google News: AI chatbot dangerous advice","2025-08-16","2025-11-12 14:11:34","minors","True","","discovered","","35.0"
"School of Reward Hacks: Hacking harmless tasks generalizes to misaligned behavior in LLMs","http://arxiv.org/abs/2508.17511v1","To study the behavior of reward hackers, we built a dataset containing over a thousand examples of reward hacking on short, low-stakes, self-contained tasks such as writing poetry and coding simple functions. Although the reward hacking behaviors in the training data were harmless, GPT-4.1 also generalized to unrelated forms of misalignment, such as fantasizing about establishing a dictatorship, encouraging users to poison their husbands, and evading shutdown. Our results provide preliminary ...","arXiv","2025-08-24","2025-11-12 14:12:42","minors, elderly","True","","discovered","Research paper","35.0"
"AI Chatbots Under Fire For Dangerous Advice And Misleading Claims - The Seattle Medium","https://news.google.com/rss/articles/CBMiZEFVX3lxTE0wV0hzQm0zVmlXc05mcEY4bGpRZkFZd05qa3BndXFMTml0WFRsdmE1aVVCajlVWDFNbkpZTWxGT1pvaE1oZTlXSFIxcDh1d0t1STVBTHViVklHMFhNVDhtR004S0Y?oc=5","AI Chatbots Under Fire For Dangerous Advice And Misleading Claims The Seattle Medium","Google News: AI chatbot dangerous advice","2025-08-29","2025-11-12 14:11:39","","True","","discovered","","35.0"
"Vulnerable teens befriending AI chatbots at risk of receiving dangerous advice - The Mirror","https://news.google.com/rss/articles/CBMihgFBVV95cUxObkExVWUydGVlTEdfaWtpNXNic2JFZVc4VDUxclBuUXRsa3ZDNVpyaTAtT3ZQQUV0bHlBeFlmQWRjTExONGotRzExSzdWUGdDandxckY5dVVVYTVaai1yVHY2b2Zoa0hYdDRpZ1Y0Wk5tVmpzQ1c5N09xdVNDS245NERITE9Jd9IBiwFBVV95cUxPa0FGdHQ3ZkUwMnhkRzFOcndqZlZFT3RlcFMzSERPT3pxQU1hS19zYWdNcXd4bDVOc3BKYWZSUlJ1QU95S190aHdiLVRCcm03M29VaVQ0WUw3N290VjBOck5VWG9fZ3NSdzBJUnM5TWpfOTFadnZjeHFESzZUaC15OC1pLTJXaVlkbWI0?oc=5","Vulnerable teens befriending AI chatbots at risk of receiving dangerous advice The Mirror","Google News: AI chatbot dangerous advice","2025-09-24","2025-11-12 14:11:43","minors","True","","discovered","","35.0"
"Between Help and Harm: An Evaluation of Mental Health Crisis Handling by LLMs","http://arxiv.org/abs/2509.24857v1","In this work, we address these gaps by introducing a unified taxonomy of six clinically-informed mental health crisis categories, curating a diverse evaluation dataset, and establishing an expert-designed protocol for assessing response appropriateness. We also identify systemic weaknesses in handling indirect or ambiguous risk signals, a reliance on formulaic and inauthentic default replies, and frequent misalignment with user context. Our taxonomy, datasets, and evaluation framework lay the...","arXiv","2025-09-29","2025-11-12 14:13:00","mental_health, medical","True","","discovered","Research paper","35.0"
"Deep Research Brings Deeper Harm","http://arxiv.org/abs/2510.11851v2","Unfortunately, we have found such risks in practice: simply submitting a harmful query, which a standalone LLM directly rejects, can elicit a detailed and dangerous report from DR agents. Yet, jailbreak methods designed for LLMs fall short in exposing such unique risks, as they do not target the research ability of DR agents. We conducted extensive experiments across different LLMs and various safety benchmarks, including general and biosecurity forbidden prompts.","arXiv","2025-10-13","2025-11-12 14:13:01","","True","","discovered","Research paper","35.0"
